Age [ka BP] (AgeD17MT (this study)),Foram bent Œ¥13C [‚Ä∞ PDB] (vs. VPDB),Foram bent Œ¥18O [‚Ä∞ PDB] (vs. VPDB),Foram bent Œ¥13C [‚Ä∞ PDB] (benthic d13C corrected to equ...),Foram bent Œ¥18O [‚Ä∞ PDB] (benthic d18O corrected to equ...),Reference,Species
5844.11,0.71,2.36,0.71,3,"Hodell et al., 2001",C.wuellerstorfi
5848,0.89,1.91,0.89,2.55,"Hodell et al., 2001",C.wuellerstorfi
5850.59,0.92,2.18,0.92,2.82,"Hodell et al., 2001",C.wuellerstorfi
5853.19,1.03,2.14,1.03,2.78,"Hodell et al., 2001",C.wuellerstorfi
5855.78,0.96,2.07,0.96,2.71,"Hodell et al., 2001",C.wuellerstorfi
5858.37,0.97,2.19,0.97,2.83,"Hodell et al., 2001",C.wuellerstorfi
5863.56,0.89,2.32,0.89,2.96,"Hodell et al., 2001",C.wuellerstorfi
5867.97,0.71,2.13,0.71,2.77,"Hodell et al., 2001",C.wuellerstorfi
5870.56,0.69,2.17,0.69,2.81,"Hodell et al., 2001",C.wuellerstorfi
5873.16,0.76,2.16,0.76,2.8,"Hodell et al., 2001",C.wuellerstorfi
5875.75,0.73,2.19,0.73,2.83,"Hodell et al., 2001",C.wuellerstorfi
5883.53,0.76,2.19,0.76,2.83,"Hodell et al., 2001",C.wuellerstorfi
5886.13,0.99,1.87,0.99,2.51,"Hodell et al., 2001",C.wuellerstorfi
5888.72,0.56,1.81,0.56,2.45,"Hodell et al., 2001",C.wuellerstorfi
5893.91,0.32,2.03,0.32,2.67,"Hodell et al., 2001",C.wuellerstorfi
5896.5,0.58,2.21,0.58,2.85,"Hodell et al., 2001",C.wuellerstorfi
5901.69,0.39,1.93,0.39,2.57,"Hodell et al., 2001",C.wuellerstorfi
5906.88,0.75,2.03,0.75,2.67,"Hodell et al., 2001",C.wuellerstorfi
5912.06,1.05,1.94,1.05,2.58,"Hodell et al., 2001",C.wuellerstorfi
5914.66,0.76,2.08,0.76,2.72,"Hodell et al., 2001",C.wuellerstorfi
5919.84,0.78,2.25,0.78,2.89,"Hodell et al., 2001",C.wuellerstorfi
5922.44,0.78,2.23,0.78,2.87,"Hodell et al., 2001",C.wuellerstorfi
5925.03,0.7,1.99,0.7,2.63,"Hodell et al., 2001",C.wuellerstorfi
5927.63,0.86,2.01,0.86,2.65,"Hodell et al., 2001",C.wuellerstorfi
5930.22,0.81,2.01,0.81,2.65,"Hodell et al., 2001",C.wuellerstorfi
5932.81,0.8,2.08,0.8,2.72,"Hodell et al., 2001",C.wuellerstorfi
5935.41,0.84,1.9,0.84,2.54,"Hodell et al., 2001",C.wuellerstorfi
5938,0.8,1.81,0.8,2.45,"Hodell et al., 2001",C.wuellerstorfi
5940.28,0.73,1.95,0.73,2.59,"Hodell et al., 2001",C.wuellerstorfi
5942.56,0.67,2.24,0.67,2.88,"Hodell et al., 2001",C.wuellerstorfi
5944.85,0.7,2.21,0.7,2.85,"Hodell et al., 2001",C.wuellerstorfi
5947.13,0.69,2.25,0.69,2.89,"Hodell et al., 2001",C.wuellerstorfi
5949.41,0.69,2.23,0.69,2.87,"Hodell et al., 2001",C.wuellerstorfi
5951.69,0.76,2.34,0.76,2.98,"Hodell et al., 2001",C.wuellerstorfi
5953.97,0.77,2.34,0.77,2.98,"Hodell et al., 2001",C.wuellerstorfi
5956.25,0.88,2.38,0.88,3.02,"Hodell et al., 2001",C.wuellerstorfi
5958.54,0.89,2.26,0.89,2.9,"Hodell et al., 2001",C.wuellerstorfi
5960.82,0.94,2.37,0.94,3.01,"Hodell et al., 2001",C.wuellerstorfi
5963.1,0.96,2.35,0.96,2.99,"Hodell et al., 2001",C.wuellerstorfi
5965.38,0.94,2.33,0.94,2.97,"Hodell et al., 2001",C.wuellerstorfi
5967.66,0.87,1.94,0.87,2.58,"Hodell et al., 2001",C.wuellerstorfi
5969.95,1.09,2.24,1.09,2.88,"Hodell et al., 2001",C.wuellerstorfi
5972.23,1.1,2.14,1.1,2.78,"Hodell et al., 2001",C.wuellerstorfi
5974.51,1.03,2.16,1.03,2.8,"Hodell et al., 2001",C.wuellerstorfi
5976.79,0.98,2.17,0.98,2.81,"Hodell et al., 2001",C.wuellerstorfi
5979.07,1,2.14,1,2.78,"Hodell et al., 2001",C.wuellerstorfi
5982.5,0.95,2.1,0.95,2.74,"Hodell et al., 2001",C.wuellerstorfi
5983.64,0.99,2.12,0.99,2.76,"Hodell et al., 2001",C.wuellerstorfi
5984.78,1.02,2.17,1.02,2.81,"Hodell et al., 2001",C.wuellerstorfi
5987.06,0.62,2.06,0.62,2.7,"Hodell et al., 2001",C.wuellerstorfi
5989.34,0.71,2.31,0.71,2.95,"Hodell et al., 2001",C.wuellerstorfi
5991.62,0.76,2.14,0.76,2.78,"Hodell et al., 2001",C.wuellerstorfi
5993.91,0.56,2.29,0.56,2.93,"Hodell et al., 2001",C.wuellerstorfi
5996.19,0.66,2.11,0.66,2.75,"Hodell et al., 2001",C.wuellerstorfi
5998.47,0.71,2.35,0.71,2.99,"Hodell et al., 2001",C.wuellerstorfi
6000.75,0.65,2.45,0.65,3.09,"Hodell et al., 2001",C.wuellerstorfi
6003.03,0.65,2.5,0.65,3.14,"Hodell et al., 2001",C.wuellerstorfi
6005.32,0.46,2.45,0.46,3.09,"Hodell et al., 2001",C.wuellerstorfi
6007.6,0.72,2.36,0.72,3,"Hodell et al., 2001",C.wuellerstorfi
6009.88,0.78,2.3,0.78,2.94,"Hodell et al., 2001",C.wuellerstorfi
6012.16,0.67,2.27,0.67,2.91,"Hodell et al., 2001",C.wuellerstorfi
6014.44,0.99,2.18,0.99,2.82,"Hodell et al., 2001",C.wuellerstorfi
6016.72,0.87,2.16,0.87,2.8,"Hodell et al., 2001",C.wuellerstorfi
6019.01,0.59,2.14,0.59,2.78,"Hodell et al., 2001",C.wuellerstorfi
6021.29,0.77,2,0.77,2.64,"Hodell et al., 2001",C.wuellerstorfi
6023.57,0.65,2.07,0.65,2.71,"Hodell et al., 2001",C.wuellerstorfi
6025.85,0.88,2.4,0.88,3.04,"Hodell et al., 2001",C.wuellerstorfi
6028.13,1.06,2.31,1.06,2.95,"Hodell et al., 2001",C.wuellerstorfi
6030.42,1.06,2.36,1.06,3,"Hodell et al., 2001",C.wuellerstorfi
6034.98,0.89,2.34,0.89,2.98,"Hodell et al., 2001",C.wuellerstorfi
6037.26,1.03,2.33,1.03,2.97,"Hodell et al., 2001",C.wuellerstorfi
6039.54,0.84,2.34,0.84,2.98,"Hodell et al., 2001",C.wuellerstorfi
6041.83,0.97,2.49,0.97,3.13,"Hodell et al., 2001",C.wuellerstorfi
6044.11,0.96,2.43,0.96,3.07,"Hodell et al., 2001",C.wuellerstorfi
6046.39,1.05,2.33,1.05,2.97,"Hodell et al., 2001",C.wuellerstorfi
6048.67,1.15,2.28,1.15,2.92,"Hodell et al., 2001",C.wuellerstorfi
6050.95,1.25,2.19,1.25,2.83,"Hodell et al., 2001",C.wuellerstorfi
6053.24,1.2,2.21,1.2,2.85,"Hodell et al., 2001",C.wuellerstorfi
6055.52,1.16,2.22,1.16,2.86,"Hodell et al., 2001",C.wuellerstorfi
6057.8,1.14,2.23,1.14,2.87,"Hodell et al., 2001",C.wuellerstorfi
6060.08,1.17,2.17,1.17,2.81,"Hodell et al., 2001",C.wuellerstorfi
6062.36,1.04,2.13,1.04,2.77,"Hodell et al., 2001",C.wuellerstorfi
6064.64,1.01,2.18,1.01,2.82,"Hodell et al., 2001",C.wuellerstorfi
6066.93,0.93,2.29,0.93,2.93,"Hodell et al., 2001",C.wuellerstorfi
6069.21,0.82,2.22,0.82,2.86,"Hodell et al., 2001",C.wuellerstorfi
6071.49,0.62,2.25,0.62,2.89,"Hodell et al., 2001",C.wuellerstorfi
6071.72,0.86,2.55,0.86,3.19,New data (this study),C.wuellerstorfi
6073.77,0.86,2.45,0.86,3.09,"Hodell et al., 2001",C.wuellerstorfi
6074,0.88,2.62,0.88,3.26,New data (this study),C.wuellerstorfi
6076.05,0.74,2.35,0.74,2.99,"Hodell et al., 2001",C.wuellerstorfi
6078.56,0.97,2.49,0.97,3.13,New data (this study),C.wuellerstorfi
6080.85,1.08,2.42,1.08,3.06,New data (this study),C.wuellerstorfi
6082.9,0.87,2.21,0.87,2.85,"Hodell et al., 2001",C.wuellerstorfi
6085.18,1.11,2.21,1.11,2.85,"Hodell et al., 2001",C.wuellerstorfi
6087.46,1.12,2.12,1.12,2.76,"Hodell et al., 2001",C.wuellerstorfi
6089.75,1.19,2.14,1.19,2.78,"Hodell et al., 2001",C.wuellerstorfi
6092.03,1.02,2,1.02,2.64,"Hodell et al., 2001",C.wuellerstorfi
6094.31,1.12,2.04,1.12,2.68,"Hodell et al., 2001",C.wuellerstorfi
6096.59,0.91,2.21,0.91,2.85,"Hodell et al., 2001",C.wuellerstorfi
6098.87,1.03,2.02,1.03,2.66,"Hodell et al., 2001",C.wuellerstorfi
6103.44,0.76,2.06,0.76,2.7,"Hodell et al., 2001",C.wuellerstorfi
6105.72,0.88,2.29,0.88,2.93,"Hodell et al., 2001",C.wuellerstorfi
6108,0.8,2.16,0.8,2.8,"Hodell et al., 2001",C.wuellerstorfi
6109.81,0.78,2.27,0.78,2.91,"Hodell et al., 2001",C.wuellerstorfi
6111.61,0.65,2.43,0.65,3.07,"Hodell et al., 2001",C.wuellerstorfi
6113.42,0.75,2.39,0.75,3.03,"Hodell et al., 2001",C.wuellerstorfi
6115.22,0.5,2.46,0.5,3.1,"Hodell et al., 2001",C.wuellerstorfi
6118.83,0.38,2.38,0.38,3.02,"Hodell et al., 2001",C.wuellerstorfi
6120.64,0.67,2.47,0.67,3.11,"Hodell et al., 2001",C.wuellerstorfi
6122.44,0.69,2.55,0.69,3.19,"Hodell et al., 2001",C.wuellerstorfi
6124.25,0.81,2.01,0.81,2.65,"Hodell et al., 2001",C.wuellerstorfi
6126.05,1.11,2.31,1.11,2.95,"Hodell et al., 2001",C.wuellerstorfi
6127.86,1,2.15,1,2.79,"Hodell et al., 2001",C.wuellerstorfi
6129.66,0.88,1.76,0.88,2.4,"Hodell et al., 2001",C.wuellerstorfi
6131.47,0.97,2.07,0.97,2.71,"Hodell et al., 2001",C.wuellerstorfi
6133.27,0.95,1.88,0.95,2.52,"Hodell et al., 2001",C.wuellerstorfi
6136.88,1.11,1.96,1.11,2.6,"Hodell et al., 2001",C.wuellerstorfi
6138.69,0.98,2.13,0.98,2.77,"Hodell et al., 2001",C.wuellerstorfi
6140.5,1.02,2.08,1.02,2.72,"Hodell et al., 2001",C.wuellerstorfi
6142.3,0.95,2.17,0.95,2.81,"Hodell et al., 2001",C.wuellerstorfi
6144.11,0.91,2.15,0.91,2.79,"Hodell et al., 2001",C.wuellerstorfi
6145.91,1.12,2.19,1.12,2.83,"Hodell et al., 2001",C.wuellerstorfi
6147.72,1.02,2.22,1.02,2.86,"Hodell et al., 2001",C.wuellerstorfi
6149.52,0.94,2.13,0.94,2.77,"Hodell et al., 2001",C.wuellerstorfi
6151.33,1,2.21,1,2.85,"Hodell et al., 2001",C.wuellerstorfi
6153.13,0.99,2.19,0.99,2.83,"Hodell et al., 2001",C.wuellerstorfi
6154.94,0.83,2.23,0.83,2.87,"Hodell et al., 2001",C.wuellerstorfi
6156.74,0.85,2.25,0.85,2.89,"Hodell et al., 2001",C.wuellerstorfi
6158.55,0.87,2.23,0.87,2.87,"Hodell et al., 2001",C.wuellerstorfi
6160.35,1.05,2.25,1.05,2.89,"Hodell et al., 2001",C.wuellerstorfi
6162.16,0.96,2.21,0.96,2.85,"Hodell et al., 2001",C.wuellerstorfi
6163.96,0.8,2.19,0.8,2.83,"Hodell et al., 2001",C.wuellerstorfi
6165.77,0.82,1.92,0.82,2.56,"Hodell et al., 2001",C.wuellerstorfi
6167.57,0.82,1.83,0.82,2.47,"Hodell et al., 2001",C.wuellerstorfi
6169.38,0.77,2.06,0.77,2.7,"Hodell et al., 2001",C.wuellerstorfi
6171.19,0.99,2.12,0.99,2.76,"Hodell et al., 2001",C.wuellerstorfi
6172.99,0.91,2.22,0.91,2.86,"Hodell et al., 2001",C.wuellerstorfi
6174.98,0.92,2.3,0.92,2.94,New data (this study),C.wuellerstorfi
6180.39,0.76,2.25,0.76,2.89,New data (this study),C.wuellerstorfi
6182.2,0.81,2.31,0.81,2.95,New data (this study),C.wuellerstorfi
6184,1.09,2.32,1.09,2.96,New data (this study),C.wuellerstorfi
6185.81,0.96,2.26,0.96,2.9,New data (this study),C.wuellerstorfi
6185.81,1.08,2.32,1.08,2.96,New data (this study),C.wuellerstorfi
6186.35,1.07,2.31,1.07,2.95,New data (this study),C.wuellerstorfi
6187.61,0.99,2.27,0.99,2.91,New data (this study),C.wuellerstorfi
6188.16,0.98,2.25,0.98,2.89,New data (this study),C.wuellerstorfi
6189.96,0.87,2.14,0.87,2.78,New data (this study),C.wuellerstorfi
6191.22,1.07,2.22,1.07,2.86,New data (this study),C.wuellerstorfi
6191.77,0.81,2.06,0.81,2.7,New data (this study),C.wuellerstorfi
6193.57,0.87,2.08,0.87,2.72,New data (this study),C.wuellerstorfi
6195.38,0.95,2.25,0.95,2.89,New data (this study),C.wuellerstorfi
6197.18,0.77,2.32,0.77,2.96,New data (this study),C.wuellerstorfi
6197.18,0.82,2.38,0.82,3.02,New data (this study),C.wuellerstorfi
6198.99,0.65,2.24,0.65,2.88,New data (this study),C.wuellerstorfi
6200.79,0.48,2.39,0.48,3.03,New data (this study),C.wuellerstorfi
6202.6,0.59,2.37,0.59,3.01,New data (this study),C.wuellerstorfi
6204.22,0.56,2.28,0.56,2.92,"Hodell et al., 2001",C.wuellerstorfi
6206.03,0.79,2.26,0.79,2.9,"Hodell et al., 2001",C.wuellerstorfi
6207.83,0.93,2.23,0.93,2.87,"Hodell et al., 2001",C.wuellerstorfi
6209.64,0.81,2.1,0.81,2.74,"Hodell et al., 2001",C.wuellerstorfi
6211.44,0.82,2.19,0.82,2.83,"Hodell et al., 2001",C.wuellerstorfi
6213.25,0.67,1.95,0.67,2.59,"Hodell et al., 2001",C.wuellerstorfi
6215.05,0.83,2.07,0.83,2.71,"Hodell et al., 2001",C.wuellerstorfi
6216.86,0.89,1.91,0.89,2.55,"Hodell et al., 2001",C.wuellerstorfi
6220.47,0.82,2.27,0.82,2.91,"Hodell et al., 2001",C.wuellerstorfi
6222.27,0.82,2.18,0.82,2.82,"Hodell et al., 2001",C.wuellerstorfi
6224.08,0.85,2.09,0.85,2.73,"Hodell et al., 2001",C.wuellerstorfi
6225.89,0.73,2.01,0.73,2.65,"Hodell et al., 2001",C.wuellerstorfi
6227.69,0.75,2.07,0.75,2.71,"Hodell et al., 2001",C.wuellerstorfi
6229.32,0.63,2.12,0.63,2.76,"Hodell et al., 2001",C.wuellerstorfi
6231.3,0.63,2.09,0.63,2.73,"Hodell et al., 2001",C.wuellerstorfi
6233.11,0.64,2.18,0.64,2.82,"Hodell et al., 2001",C.wuellerstorfi
6234.91,0.6,2.21,0.6,2.85,"Hodell et al., 2001",C.wuellerstorfi
6236.72,0.64,2.48,0.64,3.12,"Hodell et al., 2001",C.wuellerstorfi
6238.52,0.56,2.48,0.56,3.12,"Hodell et al., 2001",C.wuellerstorfi
6240.33,0.58,2.43,0.58,3.07,"Hodell et al., 2001",C.wuellerstorfi
6242.13,0.65,2.43,0.65,3.07,"Hodell et al., 2001",C.wuellerstorfi
6243.94,0.59,2.44,0.59,3.08,"Hodell et al., 2001",C.wuellerstorfi
6245.74,0.71,2.31,0.71,2.95,"Hodell et al., 2001",C.wuellerstorfi
6246.65,0.67,2.18,0.67,2.82,"Hodell et al., 2001",C.wuellerstorfi
6247.55,0.99,2.33,0.99,2.97,"Hodell et al., 2001",C.wuellerstorfi
6248.45,0.76,2.29,0.76,2.93,"Hodell et al., 2001",C.wuellerstorfi
6249.35,0.95,2.21,0.95,2.85,"Hodell et al., 2001",C.wuellerstorfi
6250.26,0.81,2.11,0.81,2.75,"Hodell et al., 2001",C.wuellerstorfi
6251.16,0.85,2.02,0.85,2.66,"Hodell et al., 2001",C.wuellerstorfi
6252.06,0.83,2.15,0.83,2.79,"Hodell et al., 2001",C.wuellerstorfi
6252.96,1.05,2.17,1.05,2.81,"Hodell et al., 2001",C.wuellerstorfi
6253.87,0.86,2.1,0.86,2.74,"Hodell et al., 2001",C.wuellerstorfi
6254.77,0.98,2.19,0.98,2.83,"Hodell et al., 2001",C.wuellerstorfi
6255.67,1.08,2.11,1.08,2.75,"Hodell et al., 2001",C.wuellerstorfi
6256.58,1.01,2.16,1.01,2.8,"Hodell et al., 2001",C.wuellerstorfi
6257.48,1.01,2.16,1.01,2.8,"Hodell et al., 2001",C.wuellerstorfi
6258.38,1.1,2.28,1.1,2.92,"Hodell et al., 2001",C.wuellerstorfi
6259.28,0.95,2.2,0.95,2.84,"Hodell et al., 2001",C.wuellerstorfi
6260.19,1.08,2.07,1.08,2.71,"Hodell et al., 2001",C.wuellerstorfi
6261.09,1.03,2.08,1.03,2.72,"Hodell et al., 2001",C.wuellerstorfi
6261.99,1.08,2.09,1.08,2.73,"Hodell et al., 2001",C.wuellerstorfi
6262.89,0.97,1.96,0.97,2.6,"Hodell et al., 2001",C.wuellerstorfi
6263.8,0.99,2,0.99,2.64,"Hodell et al., 2001",C.wuellerstorfi
6264.7,0.97,2.12,0.97,2.76,"Hodell et al., 2001",C.wuellerstorfi
6265.6,0.9,2.08,0.9,2.72,"Hodell et al., 2001",C.wuellerstorfi
6266.5,0.79,2.09,0.79,2.73,"Hodell et al., 2001",C.wuellerstorfi
6267.41,1.02,2.15,1.02,2.79,"Hodell et al., 2001",C.wuellerstorfi
6268.31,0.89,2.05,0.89,2.69,"Hodell et al., 2001",C.wuellerstorfi
6269.21,0.91,2.15,0.91,2.79,"Hodell et al., 2001",C.wuellerstorfi
6270.12,0.72,1.95,0.72,2.59,"Hodell et al., 2001",C.wuellerstorfi
6271.02,0.84,2.17,0.84,2.81,"Hodell et al., 2001",C.wuellerstorfi
6272.82,0.98,2.16,0.98,2.8,"Hodell et al., 2001",C.wuellerstorfi
6273.73,0.83,2.19,0.83,2.83,"Hodell et al., 2001",C.wuellerstorfi
6275.53,0.85,2.13,0.85,2.77,"Hodell et al., 2001",C.wuellerstorfi
6276.43,0.8,2.11,0.8,2.75,"Hodell et al., 2001",C.wuellerstorfi
6278.24,0.62,2.22,0.62,2.86,"Hodell et al., 2001",C.wuellerstorfi
6279.14,0.91,2.18,0.91,2.82,"Hodell et al., 2001",C.wuellerstorfi
6280.04,0.47,2.21,0.47,2.85,"Hodell et al., 2001",C.wuellerstorfi
6280.95,0.62,2.25,0.62,2.89,"Hodell et al., 2001",C.wuellerstorfi
6281.85,0.52,2.41,0.52,3.05,"Hodell et al., 2001",C.wuellerstorfi
6282.75,0.44,2.18,0.44,2.82,"Hodell et al., 2001",C.wuellerstorfi
6283.66,0.2,2.13,0.2,2.77,"Hodell et al., 2001",C.wuellerstorfi
6284.56,0.46,2.2,0.46,2.84,"Hodell et al., 2001",C.wuellerstorfi
6285.46,0.49,2.41,0.49,3.05,"Hodell et al., 2001",C.wuellerstorfi
6286.36,0.32,2.1,0.32,2.74,"Hodell et al., 2001",C.wuellerstorfi
6287.27,0.5,2.3,0.5,2.94,"Hodell et al., 2001",C.wuellerstorfi
6288.17,0.45,2.26,0.45,2.9,"Hodell et al., 2001",C.wuellerstorfi
6289.97,0.39,2.23,0.39,2.87,"Hodell et al., 2001",C.wuellerstorfi
6291.78,0.39,2.1,0.39,2.74,"Hodell et al., 2001",C.wuellerstorfi
6293.58,0.67,2.18,0.67,2.82,"Hodell et al., 2001",C.wuellerstorfi
6295.39,0.69,2.05,0.69,2.69,"Hodell et al., 2001",C.wuellerstorfi
6297.19,0.68,1.87,0.68,2.51,"Hodell et al., 2001",C.wuellerstorfi
6299,0.76,1.83,0.76,2.47,"Hodell et al., 2001",C.wuellerstorfi
6301.47,0.78,2.1,0.78,2.74,"Hodell et al., 2001",C.wuellerstorfi
6303.94,0.88,2.16,0.88,2.8,"Hodell et al., 2001",C.wuellerstorfi
6306.41,0.82,2.11,0.82,2.75,"Hodell et al., 2001",C.wuellerstorfi
6308.88,0.94,2.17,0.94,2.81,"Hodell et al., 2001",C.wuellerstorfi
6311.35,0.84,2.19,0.84,2.83,"Hodell et al., 2001",C.wuellerstorfi
6313.82,0.7,2.08,0.7,2.72,"Hodell et al., 2001",C.wuellerstorfi
6316.05,0.81,2.3,0.81,2.94,New data (this study),C.wuellerstorfi
6316.29,0.75,2.04,0.75,2.68,"Hodell et al., 2001",C.wuellerstorfi
6318.76,0.73,2.09,0.73,2.73,"Hodell et al., 2001",C.wuellerstorfi
6319.01,0.8,2.26,0.8,2.9,New data (this study),C.wuellerstorfi
6321.23,0.68,2.36,0.68,3,"Hodell et al., 2001",C.wuellerstorfi
6321.48,0.7,2.35,0.7,2.99,New data (this study),C.wuellerstorfi
6323.71,0.55,2.11,0.55,2.75,"Hodell et al., 2001",C.wuellerstorfi
6323.95,0.4,2.46,0.4,3.1,New data (this study),C.wuellerstorfi
6326.18,0.52,2.13,0.52,2.77,"Hodell et al., 2001",C.wuellerstorfi
6326.42,0.64,2.33,0.64,2.97,New data (this study),C.wuellerstorfi
6328.65,0.57,2.16,0.57,2.8,"Hodell et al., 2001",C.wuellerstorfi
6328.89,0.68,2.38,0.68,3.02,New data (this study),C.wuellerstorfi
6328.89,0.55,2.41,0.55,3.05,New data (this study),C.wuellerstorfi
6331.12,0.95,2.27,0.95,2.91,"Hodell et al., 2001",C.wuellerstorfi
6331.36,0.71,2.4,0.71,3.04,New data (this study),C.wuellerstorfi
6333.59,0.99,2.23,0.99,2.87,"Hodell et al., 2001",C.wuellerstorfi
6333.83,0.95,2.34,0.95,2.98,New data (this study),C.wuellerstorfi
6336.06,0.92,2.27,0.92,2.91,"Hodell et al., 2001",C.wuellerstorfi
6336.3,0.86,2.27,0.86,2.91,New data (this study),C.wuellerstorfi
6338.78,1.05,2.32,1.05,2.96,New data (this study),C.wuellerstorfi
6341.25,1.09,2.39,1.09,3.03,New data (this study),C.wuellerstorfi
6343.72,1.01,2.38,1.01,3.02,New data (this study),C.wuellerstorfi
6346.19,1.06,2.43,1.06,3.07,New data (this study),C.wuellerstorfi
6348.66,1,2.47,1,3.11,New data (this study),C.wuellerstorfi
6351.13,0.88,2.49,0.88,3.13,New data (this study),C.wuellerstorfi
6353.1,0.98,2.29,0.98,2.93,New data (this study),C.wuellerstorfi
6353.1,1.11,2.27,1.11,2.91,New data (this study),C.wuellerstorfi
6355.57,1,2.32,1,2.96,New data (this study),C.wuellerstorfi
6358.05,1.01,2.3,1.01,2.94,New data (this study),C.wuellerstorfi
6360.52,0.88,2.4,0.88,3.04,New data (this study),C.wuellerstorfi
6362.99,0.89,2.24,0.89,2.88,New data (this study),C.wuellerstorfi
6365.46,0.84,2.29,0.84,2.93,New data (this study),C.wuellerstorfi
6367.93,0.87,2.3,0.87,2.94,New data (this study),C.wuellerstorfi
6370.4,0.91,2.25,0.91,2.89,New data (this study),C.wuellerstorfi
6372.87,0.87,2.18,0.87,2.82,New data (this study),C.wuellerstorfi
6375.34,0.92,2.21,0.92,2.85,New data (this study),C.wuellerstorfi
6377.81,0.8,2.3,0.8,2.94,New data (this study),C.wuellerstorfi
6380.28,0.95,2.28,0.95,2.92,New data (this study),C.wuellerstorfi
6382.75,0.91,2.29,0.91,2.93,New data (this study),C.wuellerstorfi
6385.22,0.79,2.37,0.79,3.01,New data (this study),C.wuellerstorfi
6387.69,0.9,2.42,0.9,3.06,New data (this study),C.wuellerstorfi
6387.69,0.89,2.05,0.89,2.69,New data (this study),C.wuellerstorfi
6387.69,0.87,2.34,0.87,2.98,New data (this study),C.wuellerstorfi
6390.16,0.77,2.34,0.77,2.98,New data (this study),C.wuellerstorfi
6392.63,0.69,2.46,0.69,3.1,New data (this study),C.wuellerstorfi
6395.1,0.63,2.47,0.63,3.11,New data (this study),C.wuellerstorfi
6397.57,0.82,2.27,0.82,2.91,New data (this study),C.wuellerstorfi
6400.04,0.44,2.26,0.44,2.9,New data (this study),C.wuellerstorfi
6402.51,0.8,2.41,0.8,3.05,New data (this study),C.wuellerstorfi
6407.46,1,2.28,1,2.92,New data (this study),C.wuellerstorfi
6407.95,0.98,2.08,0.98,2.72,"Hodell et al., 2001",C.wuellerstorfi
6410.42,0.93,2.1,0.93,2.74,"Hodell et al., 2001",C.wuellerstorfi
6412.89,0.98,2.05,0.98,2.69,"Hodell et al., 2001",C.wuellerstorfi
