Depth [mbsf],NewAgeModel (Ma),_13C [per mil PDB],_18O [per mil PDB]
343.41,14.108,1.31,1.27
343.46,14.11,1.38,1.49
343.51,14.112,1.35,1.39
343.56,14.114,1.25,1.4
343.61,14.116,1.28,1.37
343.66,14.118,1.13,1.58
343.71,14.12,1.16,1.44
343.76,14.122,1.15,1.57
343.81,14.123,1.19,1.75
343.86,14.125,1.2,1.64
343.91,14.127,1.16,1.84
343.96,14.129,1.18,1.85
344.01,14.131,1.16,1.78
344.06,14.133,1.28,2.17
344.11,14.135,1.17,1.8
344.16,14.137,1.21,1.95
344.21,14.139,1.26,1.85
344.26,14.141,1.3,2.14
344.31,14.143,1.27,2.04
344.36,14.145,1.39,2.26
344.41,14.147,1.37,1.82
344.46,14.149,1.3,1.62
344.51,14.151,1.35,1.7
344.56,14.152,1.26,1.59
344.61,14.154,1.35,1.37
344.66,14.156,1.29,1.37
344.71,14.158,1.4,1.48
344.76,14.16,1.28,1.74
344.81,14.162,1.29,1.43
344.86,14.164,1.19,1.65
344.91,14.166,1.2,1.88
344.96,14.168,1.2,1.92
345.01,14.17,1.07,1.66
345.06,14.172,1.07,1.65
345.11,14.174,0.94,1.6
345.11,14.174,1.01,1.79
345.16,14.176,0.99,1.58
345.21,14.178,0.9,1.67
345.26,14.18,0.92,1.74
345.31,14.181,0.8,1.67
345.36,14.183,1.04,1.99
345.41,14.185,1.13,1.83
345.46,14.187,1.14,1.86
345.51,14.189,1.12,1.8
345.56,14.191,1.16,1.83
345.61,14.193,1.16,1.73
345.66,14.195,1.3,1.8
345.71,14.197,1.26,1.57
345.76,14.199,1.23,1.67
345.81,14.201,1.21,1.53
345.86,14.203,1.28,1.52
345.91,14.205,1.16,1.48
345.96,14.207,1.23,1.74
346.01,14.209,1.16,1.52
346.01,14.209,1.14,1.55
346.06,14.21,1.28,1.3
346.11,14.212,1.27,1.53
346.16,14.214,1.19,1.52
346.21,14.216,1.22,1.56
346.26,14.218,1.17,1.56
346.31,14.22,1.38,1.68
346.36,14.222,1.29,1.84
346.41,14.224,1.14,1.65
346.46,14.226,1.3,1.64
346.51,14.228,1.26,1.71
346.56,14.23,1.14,1.57
346.41,14.232,1.17,1.62
346.61,14.232,1.18,1.67
346.46,14.234,1.1,1.62
346.51,14.236,1.14,1.67
346.56,14.238,1.07,1.58
346.61,14.24,1.01,1.6
346.66,14.242,1.15,1.57
346.71,14.244,1.2,1.69
346.76,14.246,1.12,1.59
346.81,14.248,1.17,1.56
346.86,14.25,1.23,1.6
346.91,14.252,1.44,1.82
346.96,14.254,1.36,1.71
347.01,14.256,1.43,1.77
347.06,14.258,1.35,1.68
347.11,14.26,1.61,1.74
347.16,14.261,1.37,1.57
347.21,14.263,1.54,1.27
347.26,14.265,1.47,1.64
347.31,14.267,1.35,1.4
347.36,14.269,1.37,1.49
347.41,14.271,1.16,1.3
347.46,14.273,1.3,1.53
347.51,14.275,1.11,1.16
347.56,14.276,1.18,1.58
347.61,14.278,1.07,1.25
347.66,14.279,0.95,1.32
347.71,14.281,0.96,1.21
347.76,14.282,1.13,1.5
347.81,14.283,1.16,1.52
347.86,14.285,1.36,1.86
347.91,14.286,1.19,1.67
347.91,14.286,1.27,1.6
347.96,14.287,1.19,1.83
348.01,14.289,1.25,1.79
348.06,14.29,1.29,1.81
348.11,14.292,1.28,1.76
348.16,14.293,1.37,1.83
348.21,14.294,1.27,1.68
348.26,14.296,1.29,1.49
348.31,14.297,1.29,1.65
348.36,14.298,1.2,1.42
348.41,14.3,1.27,1.51
348.46,14.301,1.13,1.24
348.51,14.303,1.21,1.3
348.56,14.304,1.32,1.13
348.61,14.306,1.47,1.34
348.66,14.308,1.38,1.14
348.71,14.31,1.5,1.31
348.76,14.312,1.53,1.32
348.81,14.314,1.36,1.29
348.86,14.315,1.45,1.24
348.91,14.317,1.28,1.35
348.96,14.319,1.12,1.22
349.01,14.321,1.04,1.32
349.06,14.323,1,1.37
349.11,14.325,1.01,1.41
349.16,14.327,0.96,1.61
349.21,14.329,1.19,1.64
349.26,14.331,1.15,1.73
349.31,14.333,1.2,1.8
349.36,14.335,1.35,1.8
349.41,14.336,1.29,1.66
349.46,14.338,1.39,1.45
349.51,14.34,1.28,1.49
349.56,14.342,1.14,1.18
349.61,14.344,1.23,1.23
349.66,14.346,1.21,1.3
349.71,14.348,1.32,1.2
349.76,14.35,1.44,1.62
349.81,14.352,1.33,1.41
349.86,14.354,1.3,1.52
349.91,14.356,1.17,1.32
349.96,14.358,1.26,1.51
350.01,14.359,1.11,1.31
350.06,14.361,1.06,1.47
350.11,14.363,0.88,1.29
350.11,14.363,0.92,1.18
350.16,14.365,0.84,1.28
350.21,14.367,1.03,1.45
350.26,14.369,0.95,1.38
350.31,14.371,1.24,1.66
350.36,14.373,1.19,1.69
350.41,14.375,1.36,1.6
350.46,14.377,1.47,1.68
350.51,14.379,1.46,1.59
350.56,14.38,1.54,1.49
350.61,14.382,1.3,1.23
350.66,14.384,1.34,1.37
350.71,14.386,1.17,1.1
350.76,14.388,1.12,1.29
350.81,14.39,1.18,1.05
350.86,14.392,1.31,1.48
350.91,14.394,1.31,1.36
350.96,14.396,1.39,1.77
351.01,14.398,1.53,1.68
351.06,14.4,1.5,1.81
351.11,14.402,1.37,1.68
351.16,14.403,1.29,1.77
351.21,14.405,1.38,1.55
351.26,14.407,1.27,1.7
351.31,14.409,1.17,1.4
351.36,14.411,1.26,1.68
351.41,14.413,1.27,1.45
351.46,14.415,1.25,1.61
351.51,14.417,1.22,1.55
351.56,14.419,1.57,1.62
351.61,14.421,1.62,1.65
351.66,14.423,1.59,1.71
351.71,14.424,1.61,1.71
351.76,14.426,1.53,1.31
351.81,14.428,1.51,1.5
351.86,14.43,1.58,1.16
351.91,14.432,1.5,1.22
351.96,14.434,1.3,1.3
352.01,14.436,1.39,1.11
352.06,14.437,1.25,1.21
352.11,14.438,1.33,1.41
352.16,14.439,1.09,1.43
352.21,14.441,1.37,1.61
352.26,14.442,1.26,1.81
352.31,14.443,1.31,1.49
352.36,14.444,1.3,2.03
352.41,14.445,1.51,1.87
352.46,14.446,1.33,2.11
352.51,14.447,1.4,1.85
352.61,14.45,1.53,1.89
352.66,14.451,1.4,1.88
352.71,14.452,1.46,1.82
352.76,14.453,1.25,1.8
352.81,14.454,1.36,1.73
352.86,14.455,1.36,1.58
352.91,14.456,1.54,1.56
352.96,14.458,1.44,1.54
353.01,14.459,1.63,1.57
353.06,14.46,1.38,1.57
353.11,14.461,1.6,1.31
353.21,14.463,1.6,1.26
353.26,14.464,1.38,1.49
353.31,14.466,1.54,1.37
353.36,14.467,1.35,1.42
353.41,14.468,1.49,1.35
353.46,14.469,1.12,1.54
353.51,14.47,1.32,1.27
353.56,14.471,1.1,1.51
353.61,14.472,1.35,1.45
353.66,14.473,1.24,1.57
353.71,14.475,1.35,1.41
353.76,14.476,1.15,1.53
353.81,14.477,1.37,1.68
353.86,14.478,1.19,1.65
353.91,14.479,1.34,1.7
353.96,14.48,1.32,1.71
354.01,14.481,1.52,1.72
354.06,14.483,1.4,1.94
354.11,14.484,1.61,1.57
354.16,14.485,1.45,1.65
354.21,14.486,1.79,1.41
354.26,14.487,1.18,1.36
354.31,14.488,1.38,1.55
354.36,14.489,1.41,1.51
354.41,14.491,1.36,1.43
354.46,14.492,0.97,1.34
354.51,14.493,1.4,1.23
354.56,14.494,0.91,1.19
354.61,14.495,1.47,1.36
354.46,14.5,1.53,1.3
354.51,14.501,1.2,1.15
354.56,14.503,1.37,1.24
354.61,14.504,1.14,1.1
354.66,14.505,1.13,1.16
354.71,14.506,1,1.03
354.76,14.507,1.09,1.13
354.81,14.509,1.12,1.31
354.86,14.51,1.02,1.35
354.91,14.511,1.15,1.42
354.96,14.513,1.02,1.55
355.01,14.514,1.19,1.73
355.06,14.515,1.15,1.79
355.11,14.517,1.12,1.79
355.16,14.518,1.25,1.76
355.21,14.519,1.23,1.73
355.26,14.521,1.22,1.71
355.31,14.522,1.41,1.83
355.36,14.523,1.06,1.75
355.41,14.525,1.26,1.85
355.46,14.526,1.28,1.77
355.51,14.527,1.11,1.83
355.56,14.529,1.12,1.72
355.61,14.53,1.4,1.93
355.66,14.531,1.1,1.66
355.71,14.533,1.16,1.46
355.76,14.534,1.13,1.72
355.81,14.535,1.22,1.67
355.86,14.537,1.21,1.73
355.91,14.538,1.08,1.53
355.96,14.539,1,1.54
356.01,14.541,1.23,1.45
356.06,14.542,1.19,1.67
356.11,14.543,1.2,1.52
356.16,14.545,1.69,1.34
356.21,14.546,1.66,1.27
356.26,14.547,1.56,1.33
356.31,14.549,1.7,1.34
356.36,14.55,1.5,1.11
356.41,14.551,1.51,1.18
356.46,14.553,1.73,1.37
356.51,14.554,1.74,1.3
356.56,14.555,1.62,1.4
356.61,14.556,1.63,1.29
356.66,14.558,1.55,1.34
356.71,14.559,1.55,1.45
356.76,14.56,1.46,1.31
356.81,14.561,1.51,1.33
356.86,14.563,1.48,1.37
356.91,14.564,1.45,1.35
356.96,14.565,1.33,1.29
357.01,14.566,1.35,1.29
357.06,14.568,1.35,1.48
357.11,14.569,1.38,1.57
357.16,14.57,1.35,1.56
357.21,14.571,1.43,1.67
357.26,14.573,1.53,1.63
357.31,14.574,1.61,1.8
357.36,14.575,1.53,1.53
357.41,14.576,1.58,1.59
357.46,14.578,1.67,1.4
357.51,14.579,1.68,1.4
357.56,14.58,1.7,1.45
357.61,14.581,1.61,1.34
357.66,14.583,1.71,1.42
357.71,14.584,1.61,1.27
357.76,14.585,1.6,1.29
357.81,14.586,1.67,1.15
357.86,14.588,1.62,1.11
357.91,14.589,1.41,1.1
357.96,14.591,1.44,1.2
358.01,14.592,1.5,1.07
358.06,14.594,1.37,1.18
358.11,14.596,1.38,1.19
358.16,14.598,1.39,1.33
358.21,14.599,1.38,1.35
358.26,14.601,1.46,1.68
358.31,14.603,1.44,1.55
358.36,14.605,1.52,1.68
358.41,14.606,1.51,1.64
358.46,14.608,1.58,1.82
358.51,14.61,1.56,1.66
358.56,14.612,1.6,1.92
358.61,14.613,1.64,1.73
358.66,14.615,1.67,1.86
358.71,14.617,1.48,1.34
358.76,14.619,1.64,1.63
358.81,14.62,1.53,1.34
358.86,14.622,1.66,1.52
358.91,14.624,1.67,1.46
358.96,14.626,1.66,1.57
359.01,14.627,1.54,1.28
359.06,14.629,1.62,1.32
359.11,14.631,1.56,1.38
359.16,14.633,1.71,1.48
359.21,14.634,1.69,1.52
359.26,14.636,1.66,1.48
359.31,14.638,1.63,1.4
359.36,14.639,1.62,1.41
359.41,14.641,1.7,1.53
359.46,14.643,1.52,1.39
359.51,14.645,1.63,1.54
359.56,14.646,1.39,1.37
359.61,14.648,1.44,1.42
359.66,14.65,1.4,1.41
359.71,14.652,1.35,1.49
359.76,14.653,1.31,1.43
359.81,14.655,1.44,1.55
359.86,14.657,1.34,1.49
359.91,14.659,1.27,1.51
359.96,14.66,1.35,1.61
360.01,14.662,1.51,1.59
360.06,14.664,1.4,1.63
360.11,14.666,1.45,1.72
360.16,14.667,1.4,1.55
360.21,14.669,1.38,1.49
360.26,14.671,1.43,1.55
360.31,14.673,1.44,1.63
360.36,14.674,1.38,1.43
360.41,14.676,1.17,1.42
360.46,14.678,1.37,1.22
360.51,14.68,1.37,1.35
360.56,14.681,1.32,1.26
360.61,14.683,1.29,1.28
360.66,14.685,1.2,1.03
360.71,14.686,1.25,1.41
360.76,14.688,1.23,1.12
360.81,14.69,1.18,1.22
360.86,14.692,1.25,1.27
360.91,14.693,1.1,1.36
360.96,14.695,1.22,1.37
361.01,14.697,1.17,1.48
361.06,14.699,1.32,1.51
361.11,14.7,1.35,1.55
361.16,14.702,1.25,1.34
361.21,14.704,1.29,1.53
361.26,14.706,1.09,1.44
361.31,14.707,1.26,1.47
361.36,14.709,1.2,1.35
361.41,14.711,1.24,1.55
361.46,14.713,1.22,1.49
361.51,14.714,1.14,1.32
361.56,14.716,1.17,1.09
361.61,14.718,0.95,1.12
361.66,14.72,1.14,1.29
361.71,14.721,1.24,1.18
361.76,14.723,1.38,1.09
361.81,14.725,1.4,1.12
361.86,14.727,1.45,1.08
361.91,14.728,1.22,1.07
361.96,14.73,1.24,1.15
362.01,14.732,1.05,0.92
362.06,14.733,1.13,1.14
362.11,14.735,0.84,0.8
362.16,14.737,0.86,1.08
362.21,14.739,1.17,1.14
362.26,14.74,1.27,1.44
362.31,14.742,1.4,1.47
362.36,14.744,1.43,1.51
362.41,14.746,1.36,1.28
362.46,14.747,1.32,1.1
362.51,14.749,1.2,1.05
362.56,14.751,1.23,1.11
362.61,14.753,1.53,1.31
362.66,14.754,1.51,1.49
362.71,14.756,1.55,1.33
362.76,14.758,1.6,1.5
362.81,14.76,1.44,1.28
362.86,14.761,1.42,1.36
362.91,14.763,1.34,1.47
362.96,14.765,1.11,1.22
363.01,14.767,1.12,1.22
363.06,14.768,1,1.21
363.11,14.77,1.13,1.5
363.16,14.772,1.09,1.46
363.21,14.774,1.19,1.64
363.26,14.775,1.22,1.77
363.31,14.777,1.29,1.88
363.36,14.779,1.15,1.62
363.41,14.781,1.17,1.8
363.46,14.783,1.29,1.89
363.51,14.785,1.29,1.84
363.56,14.787,1.25,1.83
359.01,14.793,1.13,1.39
359.11,14.797,1.14,1.46
359.21,14.801,1.19,1.47
359.31,14.804,1.28,1.32
359.41,14.808,1.3,1.34
359.51,14.812,1.07,1.22
359.61,14.816,0.97,1.13
359.71,14.82,0.91,1.05
359.81,14.824,1.51,1.6
359.91,14.827,1.29,1.23
360.01,14.831,1.13,0.88
360.11,14.835,0.93,0.86
360.21,14.837,0.85,0.91
360.31,14.839,1.04,1.08
360.41,14.842,1.34,1.3
360.51,14.844,1.37,1.56
360.61,14.846,1.48,1.57
360.71,14.848,1.41,1.4
360.81,14.85,1.22,1.44
364.71,14.852,1.46,1.56
360.91,14.853,0.94,1.11
361.01,14.855,1.01,1.2
364.81,14.855,1.39,1.46
364.91,14.857,1.27,1.36
365.01,14.859,1.07,1.22
365.11,14.861,1.03,1.34
365.21,14.864,1.05,1.34
365.31,14.866,1.16,1.59
365.41,14.868,1.31,1.71
365.51,14.87,1.39,1.55
365.61,14.872,1.38,1.52
365.71,14.875,1.36,1.42
365.81,14.877,1.34,1.46
365.91,14.879,1.27,1.36
366.01,14.881,1.26,1.38
366.11,14.883,1.24,1.21
366.21,14.886,1.2,1.2
366.31,14.888,1.23,1.36
366.41,14.89,1.2,1.35
366.51,14.892,1.27,1.62
366.61,14.895,1.25,1.57
366.71,14.897,1.35,1.54
366.81,14.899,1.32,1.67
366.91,14.901,1.24,1.65
367.01,14.903,1.23,1.51
367.11,14.906,1.28,1.42
367.21,14.908,1.13,1.34
367.31,14.91,1.13,1.06
367.41,14.914,1.2,1.19
367.51,14.918,1.39,1.25
367.61,14.922,1.41,1.24
367.71,14.926,1.21,1.22
367.81,14.93,0.95,0.9
367.91,14.933,1,1.06
368.01,14.937,1.01,0.88
368.11,14.941,1.42,1.53
368.21,14.945,1.43,1.35
368.31,14.949,1.24,1.05
368.41,14.953,1.27,1.27
368.51,14.957,1.52,1.48
368.61,14.961,1.42,1.37
368.71,14.964,1.39,1.36
368.81,14.968,1.32,1.29
368.91,14.972,1.3,1.37
369.01,14.976,1.44,1.53
369.11,14.98,1.48,1.6
369.21,14.984,1.48,1.71
369.31,14.987,1.38,1.51
369.41,14.991,1.29,1.4
369.51,14.995,1.36,1.45
369.61,14.999,1.39,1.46
369.71,15.003,1.36,1.39
369.81,15.007,1.46,1.51
369.91,15.01,1.25,1.39
370.01,15.014,1.23,1.36
370.11,15.018,1.25,1.42
370.21,15.022,1.28,1.48
370.31,15.026,1.25,1.49
370.41,15.03,1.21,1.36
370.51,15.034,1.25,1.66
370.61,15.037,1.18,1.42
370.71,15.041,1.22,1.31
370.81,15.045,1.11,1.27
370.91,15.049,1.12,1.24
371.01,15.053,1.03,1.11
371.11,15.057,1.14,1.28
371.21,15.06,1.22,1.45
371.31,15.064,1.18,1.34
371.42,15.068,1.19,1.52
371.52,15.072,1.23,1.39
371.62,15.076,1.21,1.03
371.72,15.08,0.94,0.69
371.82,15.084,1.3,1.18
371.92,15.088,1.38,1.27
372.02,15.092,1.01,0.96
372.12,15.096,0.86,1.06
372.22,15.1,0.99,1.05
372.32,15.103,1.14,1.42
372.42,15.107,1.3,1.58
372.52,15.111,1.36,1.57
372.62,15.115,1.37,1.74
372.72,15.119,1.15,1.2
372.82,15.122,1.32,1.28
372.93,15.126,1.5,1.61
373.03,15.129,1.44,1.47
373.13,15.133,1.41,1.55
373.23,15.136,1.34,1.66
373.33,15.139,1.19,1.48
373.43,15.142,1.24,1.47
373.53,15.146,1.38,1.71
368.51,15.148,1.31,1.47
368.61,15.151,1.17,1.31
368.71,15.154,1.4,1.6
368.81,15.158,1.29,1.55
368.91,15.161,1.33,1.54
369.01,15.164,1.4,1.51
369.11,15.168,1.33,1.47
369.21,15.171,1.24,1.34
369.31,15.174,1.28,1.29
369.41,15.177,1.18,1.21
369.51,15.181,1.39,1.62
369.61,15.184,1.45,1.51
369.71,15.187,1.42,1.36
369.81,15.191,1.21,1.14
369.91,15.194,0.79,0.76
370.01,15.2,1.04,0.97
370.11,15.205,1.52,1.26
370.21,15.211,1.38,1.09
370.31,15.217,1,1.05
370.41,15.223,0.96,1.28
370.51,15.228,1.17,1.46
370.61,15.234,1.22,1.44
370.71,15.24,1.36,1.75
370.81,15.246,1.52,1.69
370.91,15.251,1.36,1.59
371.01,15.257,1.33,1.61
371.11,15.263,1.36,1.49
371.21,15.269,1.51,1.68
371.31,15.274,1.67,1.74
371.41,15.28,1.51,1.45
371.51,15.286,1.42,1.25
371.61,15.29,1.68,1.5
371.71,15.295,1.63,1.26
371.81,15.299,1.37,1.35
371.91,15.303,1.1,1.03
372.01,15.308,1.25,1.33
372.11,15.312,1.52,1.56
372.11,15.312,1.59,1.6
372.21,15.316,1.71,1.7
372.31,15.321,1.58,1.25
372.41,15.325,1.44,1.21
372.51,15.328,1.43,1.32
372.61,15.33,1.56,1.64
372.71,15.333,1.59,1.7
372.81,15.336,1.57,1.66
372.91,15.339,1.44,1.66
373.01,15.341,1.53,1.8
373.11,15.344,1.62,1.81
373.21,15.347,1.64,1.77
373.31,15.35,1.69,1.6
373.41,15.352,1.65,1.54
373.51,15.355,1.61,1.58
373.61,15.358,1.56,1.26
373.71,15.361,1.67,1.71
373.81,15.363,1.6,1.8
373.91,15.366,1.51,1.51
374.01,15.369,1.48,1.56
374.11,15.372,1.42,1.51
374.11,15.372,1.39,1.47
374.21,15.374,1.49,1.64
374.31,15.377,1.58,1.72
374.41,15.38,1.63,1.68
374.51,15.383,1.69,1.63
374.61,15.385,1.66,1.55
374.71,15.388,1.49,1.41
374.81,15.391,1.56,1.55
374.91,15.393,1.64,1.77
375.01,15.396,1.62,1.59
375.11,15.399,1.65,1.65
375.21,15.402,1.55,1.68
375.31,15.404,1.41,1.45
375.41,15.407,1.45,1.82
375.51,15.41,,
375.61,15.413,1.58,1.82
375.71,15.415,1.59,1.84
375.81,15.418,1.61,1.78
375.91,15.421,1.67,1.79
376.01,15.424,1.5,1.64
376.11,15.426,1.58,1.53
376.21,15.429,1.7,1.47
376.31,15.432,1.62,1.42
376.51,15.437,1.44,1.27
376.61,15.44,1.31,1.15
379.41,15.443,1.6,1.47
379.51,15.447,1.62,1.58
379.61,15.452,1.67,1.59
379.71,15.456,1.65,1.46
379.81,15.46,1.67,1.46
379.91,15.464,1.55,1.36
380.01,15.468,1.37,1.2
380.11,15.472,1.27,1.22
380.21,15.476,1.2,1.14
380.31,15.48,1.31,1.45
380.41,15.485,1.53,1.59
380.51,15.489,1.5,1.52
380.61,15.493,1.46,1.2
380.71,15.497,1.37,1.24
380.81,15.501,1.3,1.06
380.92,15.506,1.72,1.39
381.02,15.51,1.59,1.37
381.12,15.514,1.41,1.27
381.22,15.518,1.02,1.02
381.32,15.52,1.26,1.28
381.42,15.521,1.36,1.45
381.52,15.523,1.43,1.63
381.62,15.525,1.45,1.75
381.72,15.527,1.53,1.72
381.82,15.528,1.51,1.77
381.92,15.53,1.52,1.63
382.02,15.532,1.31,1.58
382.12,15.534,1.34,1.45
382.22,15.535,1.34,1.49
382.32,15.537,1.57,1.67
382.43,15.539,1.56,1.65
382.53,15.541,1.53,1.64
382.63,15.543,1.57,1.63
382.73,15.544,1.49,1.57
382.83,15.546,1.54,1.64
382.93,15.548,1.41,1.52
383.03,15.55,1.41,1.61
383.13,15.551,1.39,1.5
383.23,15.553,1.37,1.48
383.33,15.555,1.35,1.54
379.91,15.556,1.3,1.41
380.01,15.558,1.34,1.39
380.11,15.56,1.34,1.27
380.21,15.561,1.38,1.59
380.31,15.563,1.41,1.49
380.41,15.565,1.38,1.18
380.51,15.567,1.27,1.08
380.61,15.568,1.16,1.14
380.71,15.57,0.84,0.67
380.81,15.575,0.93,0.77
380.91,15.58,1.39,1.16
381.01,15.585,0.98,1
381.11,15.59,0.84,0.67
381.21,15.595,,
381.31,15.6,1.57,1.3
381.41,15.605,1.5,1.24
381.51,15.61,0.76,0.67
381.61,15.613,0.87,0.86
381.71,15.617,1.43,1.34
381.81,15.62,,
381.91,15.624,1.45,1.93
382.01,15.627,1.29,1.68
382.11,15.63,1.36,1.65
382.21,15.634,1.49,1.89
382.31,15.637,1.58,1.65
382.43,15.641,1.56,1.66
382.53,15.644,1.59,1.65
382.63,15.648,1.53,1.59
382.73,15.651,1.5,1.49
382.83,15.655,1.44,1.49
382.93,15.658,1.38,1.46
383.03,15.661,1.25,1.35
383.13,15.665,1.3,1.49
383.23,15.668,1.34,1.6
383.33,15.671,1.37,1.59
383.43,15.675,1.5,1.66
383.53,15.678,1.6,1.69
383.63,15.682,1.51,1.41
383.73,15.685,1.3,1.06
383.83,15.689,1.55,1.26
383.94,15.694,1.62,1.46
384.04,15.698,1.37,1.16
384.14,15.703,1.19,1.14
384.24,15.707,1.58,1.5
384.34,15.711,1.75,1.46
384.44,15.715,1.67,1.57
384.54,15.72,1.5,1.39
384.64,15.724,1.59,1.38
384.74,15.727,1.85,1.9
384.84,15.73,1.79,1.8
384.94,15.734,1.75,1.71
387.91,15.735,1.69,1.66
388.01,15.738,1.72,1.78
388.11,15.741,1.73,1.64
388.21,15.745,1.79,1.74
388.31,15.748,1.74,1.57
388.41,15.751,1.85,1.6
388.51,15.754,1.86,1.64
388.71,15.761,1.59,1.54
388.81,15.764,1.41,1.38
388.92,15.768,1.36,1.46
389.02,15.771,1.46,1.48
389.12,15.774,1.49,1.65
389.22,15.777,1.58,1.81
389.32,15.781,1.76,1.89
389.42,15.784,1.72,1.63
389.52,15.787,1.66,1.36
389.62,15.79,1.96,1.6
389.72,15.794,1.9,1.7
389.82,15.797,1.79,1.49
389.92,15.8,1.75,1.35
390.02,15.804,1.59,1.42
390.12,15.808,1.87,1.64
390.22,15.812,1.83,1.64
390.32,15.815,1.88,1.61
390.44,15.82,1.87,1.7
390.54,15.824,1.78,1.69
390.64,15.828,1.83,1.6
390.74,15.832,1.83,1.64
390.84,15.836,1.75,1.8
390.94,15.84,1.79,1.69
391.04,15.843,1.76,1.61
391.14,15.847,1.79,1.69
391.24,15.851,1.68,1.43
391.34,15.855,1.68,1.41
391.44,15.859,1.77,1.79
391.54,15.863,1.66,1.7
391.64,15.868,1.62,1.58
391.74,15.872,1.61,1.48
391.84,15.876,1.6,1.55
391.96,15.881,1.92,1.72
392.06,15.886,1.76,1.42
392.16,15.89,1.68,1.63
392.26,15.894,1.56,1.21
392.36,15.897,1.63,1.51
392.46,15.899,1.79,1.77
392.56,15.902,1.96,1.89
392.66,15.904,1.98,1.93
392.76,15.907,1.77,1.84
392.86,15.909,1.94,1.83
392.96,15.912,1.91,1.72
393.06,15.914,1.92,1.85
393.16,15.917,1.84,1.66
393.26,15.919,2,1.76
393.36,15.922,1.91,1.74
393.48,15.925,1.88,1.57
393.58,15.927,1.65,1.66
393.78,15.932,1.63,1.57
393.88,15.935,1.69,1.58
393.98,15.937,1.66,1.44
394.08,15.94,1.7,1.47
394.18,15.942,1.78,1.76
394.28,15.945,1.66,1.81
394.38,15.947,1.67,1.65
394.48,15.95,1.7,1.68
394.58,15.952,1.46,1.35
394.68,15.955,1.72,1.6
394.7,15.955,1.59,1.41
394.8,15.958,1.66,1.33
394.9,15.96,1.96,1.56
395,15.963,1.64,1.47
395.1,15.965,1.49,1.37
395.2,15.968,1.33,1.23
395.3,15.971,1.4,1.73
395.4,15.973,1.96,1.47